topoid,poigroup,poitype,poiname,poilabel,poilabeltype,poialtlabel,poisourcefeatureoid,accesscontrol,startdate,enddate,lastupdate,msoid,centroidid,shapeuuid,changetype,processstate,urbanity,cadid,createdate,modifieddate,lganame,councilname,abscode,ltocode,vgcode,wbcode
517400396,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152689,,a7cbccdb-e8ad-311c-aff2-e9e2c4d82ad7,I,,S,,,,,,,,,
517400397,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152690,,e957269f-6e8b-3f7d-9d8e-3b8517ac8f38,I,,S,,,,,,,,,
517400398,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152691,,00940139-2347-3073-908f-3bf84d45cad2,I,,S,,,,,,,,,
517400399,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152692,,b5947ac5-e389-3585-b75d-765ae4b143be,I,,S,,,,,,,,,
517400461,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152693,,6bccd2b9-9c5e-3e25-9316-59f187d19cc2,I,,U,,,,,,,,,
517400462,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152694,,813f001b-d862-331f-949f-df062316d388,I,,U,,,,,,,,,
517400463,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152695,,8c857003-7615-3468-8e89-a8740574f4e3,I,,U,,,,,,,,,
517400464,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152696,,911792ad-d912-3f2e-9981-9ae0960b5848,I,,U,,,,,,,,,
517400465,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152697,,8ca6f79c-bb2f-31fd-9e9d-7c36221655fc,I,,U,,,,,,,,,
517400466,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152698,,1017e1e8-111d-307d-9e20-a1383db705fd,I,,U,,,,,,,,,
517400467,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152699,,58c6c2a7-8e6d-3a45-9a72-9edb1192fa35,I,,U,,,,,,,,,
517400468,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152700,,ffc1c3b5-a15a-3cb3-b18c-454502b9faf1,I,,U,,,,,,,,,
517400469,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152701,,4ae1c0d7-fee0-3b0b-a226-20dcabec2721,I,,S,,,,,,,,,
517400470,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152702,,a4d13982-f95b-3c52-a9d4-b22eaf34653b,I,,S,,,,,,,,,
517400471,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152703,,023dd2f4-6eaf-3bad-a859-936e509ce1f9,I,,S,,,,,,,,,
517400472,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152704,,d1090153-8c18-3818-9e7e-c36cc8608785,I,,S,,,,,,,,,
517400473,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152705,,4e317c83-091c-3e22-8040-cb2320eeabf8,I,,S,,,,,,,,,
517400474,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152706,,da1d846d-7e4c-31b1-8ec4-14564c828ff5,I,,S,,,,,,,,,
517400475,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152707,,daaa500a-69f7-3736-8e02-abae0ae28473,I,,S,,,,,,,,,
517400476,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152708,,09bf22ba-a72f-3159-bfa3-fa91d0816481,I,,S,,,,,,,,,
517400477,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152709,,15007ab4-c67d-32e9-888d-560898c1a845,I,,S,,,,,,,,,
517400478,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152710,,d8138e18-4288-3d62-8332-e542119c241a,I,,S,,,,,,,,,
517400479,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152711,,4345b838-1132-360e-9a94-280f30830e77,I,,S,,,,,,,,,
517400481,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152712,,0cb6fe6e-e104-300d-b508-854de221fefa,I,,U,,,,,,,,,
517400482,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152713,,3e833562-a66e-399f-b3c8-e76665551835,I,,U,,,,,,,,,
517400483,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152714,,825502da-9df0-3f3e-bf67-e5b2d567e1c0,I,,U,,,,,,,,,
517400484,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152715,,239a523f-b001-3283-91ac-996838ee94c2,I,,U,,,,,,,,,
517400485,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152716,,25b9502a-7e30-30e6-af56-8bc1058b3a4b,I,,U,,,,,,,,,
517400486,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152717,,44bc1eeb-2a48-3d2f-8dbf-6c46f1188ecf,I,,U,,,,,,,,,
517400489,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152718,,acb1b803-be9b-3e10-94a8-beae011924e3,I,,U,,,,,,,,,
517400490,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152719,,045a2a11-6003-3168-812d-d3cc1de66b6b,I,,U,,,,,,,,,
517400491,4,Slipway,,Slipway,GENERIC,,72,1,20130513092612,30000101000000,20130513092931.444,152720,,7a7c2456-323c-36ea-a6ac-bb0e66e2c209,I,,U,,,,,,,,,
517400492,4,Slipway,,Slipway,GENERIC,,72,1,20130513092612,30000101000000,20130513092931.444,152721,,bd8a419f-ef6c-39b4-80a6-dc71484dfb36,I,,U,,,,,,,,,
517400493,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152722,,936aa9cf-0917-3b10-9ed0-488cd8a38f35,I,,U,,,,,,,,,
517400525,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152723,,818e9eec-8405-3cfc-9488-7feb4bc7e753,I,,U,,,,,,,,,
517400527,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152724,,082dd6d0-7023-3dc7-81d6-b3e03d902d06,I,,U,,,,,,,,,
517400529,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152725,,ba77d291-7777-3ecc-b584-a2afb23b4f4d,I,,U,,,,,,,,,
517400530,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152726,,4094750d-53b1-30c4-bc74-1d3837c6f9dc,I,,U,,,,,,,,,
517400531,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152727,,3ab1877d-0e62-3bb5-bac3-77d4cb6417c3,I,,U,,,,,,,,,
517400532,4,Slipway,,Slipway,GENERIC,,72,1,20130513092612,30000101000000,20130513092931.444,152728,,d57107db-e97e-30b0-ba91-0d7d482ddf3f,I,,U,,,,,,,,,
517400533,4,Slipway,,Slipway,GENERIC,,72,1,20130513092612,30000101000000,20130513092931.444,152729,,7f5cbbc4-0b60-3251-b5ff-c359d689c0ae,I,,U,,,,,,,,,
517400539,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152730,,06b8fc28-553a-3688-bb89-22504d0b9218,I,,S,,,,,,,,,
517400540,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152731,,28f4c59f-f75f-3076-ab71-070a02138396,I,,S,,,,,,,,,
517400541,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152732,,325ca6be-0259-367f-aede-3cbe334fa6f7,I,,S,,,,,,,,,
517400544,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152733,,1d688f4c-37fd-3f19-bd15-faa7b18283a2,I,,S,,,,,,,,,
517400545,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152734,,12ac5fe8-f09a-34ea-a708-e652ca91ae6a,I,,S,,,,,,,,,
517400548,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152735,,18508ec9-b599-3e55-97f9-8b601fb12d26,I,,S,,,,,,,,,
517400549,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152736,,3b55a111-571f-30d8-9bef-710ab1f751e4,I,,S,,,,,,,,,
517400550,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152737,,099a09f0-dd20-3924-a26a-d02464b43560,I,,S,,,,,,,,,
517400551,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152738,,722c3136-ddc7-39cb-a54c-f84c1743f0b9,I,,S,,,,,,,,,
517400552,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152739,,785fbb4a-5d27-3b9a-902f-3efd6e39e455,I,,S,,,,,,,,,
517400553,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152740,,5c230049-0cf6-3610-913d-c341b5ff59ea,I,,S,,,,,,,,,
517400555,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152741,,fb48f96f-311a-32dc-a58a-b3a4db9208aa,I,,S,,,,,,,,,
517400556,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152742,,4733f642-eaa0-31ea-a124-32480d8aee2c,I,,S,,,,,,,,,
517400557,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152743,,3e4e1e71-6a0e-323f-9a89-65a119a24161,I,,S,,,,,,,,,
517400558,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152744,,aff6be92-b3c7-38b9-95af-b3de2d342b29,I,,S,,,,,,,,,
